Column1;LemasTotalReq;PctHousNoPhone;PctEmplManu;LemasSwFTPerPop;pctWWage;racePctAsian;pctWInvInc;MedOwnCostPctIncNoMtg;racePctWhite;TotalPctDiv;PctKids2Par;PctPolicBlack;PctVacantBoarded;OtherPerCap;PersPerOwnOccHous;numbUrban;PctWorkMom;PctLargHouseFam;PctVacMore6Mos;RentQrange;PolicReqPerOffic;PctPopUnderPov;LemasPctOfficDrugUn;PctSameCity85;PersPerRentOccHous;PctUnemployed;PctEmploy;pctWPubAsst;agePct12t21;NumImmig;PolicBudgPerPop;PctOccupManu;PctImmigRec5;HousVacant;blackPerCap;MedYrHousBuilt;NumKidsBornNeverMar;PctBornSameState;PctPolicMinor;PctPolicAsian;pctWRetire;indianPerCap;MalePctNevMarr;PctPersDenseHous;PctImmigRecent;AsianPerCap;PctSpeakEnglOnly;PctTeen2Par;PersPerFam;LandArea;RacialMatchCommPol;PctWOFullPlumb;PctPersOwnOccup;population;PctRecentImmig;PctPolicWhite;racepctblack;NumStreet;racePctHisp;PctImmigRec10;PctPolicHisp;PctUsePubTrans;MedRentPctHousInc;HispPerCap;PctHousLess3BR;PctOccupMgmtProf;OwnOccQrange;agePct16t24;NumUnderPov;medFamInc;PctSameState85;PctRecImmig10;NumInShelters;LemasPctPolicOnPatr;LemasTotReqPerPop;PctSameHouse85;PolicOperBudg;PctKidsBornNeverMar;PctHousOccup;PopDens;PctEmplProfServ;pctWFarmSelf;PctNotHSGrad;OwnOccLowQuart;householdsize;RentLowQ;PctNotSpeakEnglWell;MedOwnCostPctInc;MedNumBR;ViolentCrimesPerPop
1069;0.12578787;-0.77652776;0.09423187;0.080378816;0.27308902;0.042668253;1.2319596;0.32293195;1.1907693;-0.8109099;1.2056073;0.06276959;0.4668033;-5.1993375;0.7613527;-0.5470526;-1.4781308;-0.70553;0.28874987;1.0685217;0.05271626;-0.64187;-5.1993375;-0.56784767;-2.023292;-0.67191947;0.32714382;-0.15746944;-0.14097728;-0.49971974;0.09423187;-1.3716573;-0.72891814;-1.1024404;0.15255027;0.11188957;-0.87351507;-0.35659173;0.042668253;0.10684119;0.43426305;2.3242512;-0.35215142;-1.550085;-0.90330064;1.517741;0.21106979;1.7234982;0.39113745;0.2243733;-0.032624554;0.4935534;1.0834858;-1.2016661;-0.53074485;-0.03513513;-1.2724783;-5.1993375;-1.0796899;-0.8811134;0.087932944;0.18292761;0.70553005;0.6959516;-0.9694267;1.2809814;1.8790842;-0.8373384;-1.1432285;1.4561766;-0.8524179;-0.37628275;-5.1993375;-0.055229053;0.100534536;0.47870567;0.13591075;-0.44498476;0.4445339;-1.253337;0.5407161;-1.4390013;-1.1595151;1.027021;0.05271626;0.060255703;-0.5569266;0.46540478;0.48224825;84.02
2202;0.12578787;0.50492203;-0.16899464;0.080378816;0.08667359;0.08163751;-0.99373823;0.716839;-0.3895248;0.3816746;-0.15746944;0.06276959;0.16001047;-0.1792922;0.4348606;-5.1993375;1.6255614;0.6399612;0.1931432;-0.0025091385;0.05271626;0.32793343;-5.1993375;-0.37090176;0.9815403;0.8827388;-0.35215142;0.3952036;0.57607484;-0.028859068;0.09423187;1.1573329;0.57662874;-0.016250337;2.8912222;0.68001264;-0.23482704;-0.3983236;0.042668253;0.10684119;-0.87042916;0.41960564;-0.4794316;0.7529975;-0.41457397;0.15562852;-1.0020907;-0.08163758;0.716839;0.14097735;-0.032624554;1.1895223;0.15746951;-0.7003916;0.16255245;-0.03513513;-0.53653103;-5.1993375;1.5018604;0.7647097;0.087932944;-0.49497098;1.541796;-0.6155378;-0.028984623;-1.2071089;-0.9495473;-0.15803795;-0.14884762;-0.30830058;-0.21141057;0.6195781;0.7630302;-0.055229053;0.100534536;0.116940804;0.13591075;-0.025322208;-0.88644946;-0.94532126;-0.6627237;1.0422468;0.6688242;-0.20211492;0.9674215;-0.16763951;0.9774865;0.28874987;0.48224825;255.86
265;-1.8659381;0.7678709;1.6841683;-1.2925855;-0.5937646;-0.5805236;-0.33893284;-0.07408731;-0.0054252823;1.5669894;-0.83152103;-1.4045331;1.0841953;0.59605956;-1.0041313;0.7641344;-0.32822344;-0.5849838;0.6089363;-0.9614293;-1.3426582;0.6271963;1.8249542;0.9133233;-0.30711114;0.90708023;-0.5803634;0.5211798;0.025093993;-0.3776297;-1.7212603;1.1270149;-1.1200993;0.8595054;0.28091082;-0.8161499;0.70029044;0.7122496;-1.7058057;-5.1993375;1.358913;-0.051121812;-0.6745885;-0.27439147;-0.88295424;0.25924385;1.0230031;-0.8354678;-0.73479813;0.09927369;1.865912;-0.1549295;0.016310107;0.7461978;-1.1117021;1.664082;0.5319221;-5.1993375;-0.21276937;-1.0360129;-1.6252744;-1.2049354;-0.007527479;-0.6358951;0.41694832;-0.9450048;-1.2232872;-0.032624554;0.9261545;-0.37250054;0.8074289;-1.2101372;1.116369;1.7220526;-1.3053619;0.16558985;-2.7490022;0.31764954;-0.52514255;0.54540247;-0.7282404;-0.30711114;0.40395713;-1.3011906;-1.1424831;-0.7298769;-0.43072727;-2.2567449;-0.87351507;488.86
2159;-1.6677278;0.49213684;0.29921252;-1.866403;-0.31633034;0.13084763;0.012660314;0.32293195;0.24574782;-0.013800685;-0.15471411;-5.1993375;1.2916583;-0.54084295;-0.0100367125;1.2156339;1.0774456;0.47100437;0.036320534;-0.8552868;1.5880954;0.37897724;1.3813636;0.26951003;-0.12958232;0.04894769;0.08900494;0.5849838;0.46654308;0.46315476;-1.9926134;0.34681705;1.1070595;0.8628526;-0.99374;-1.1694007;1.1027598;0.4060789;-5.1993375;-5.1993375;-0.51364017;-1.0296636;-0.06701847;0.07969713;0.9110439;-0.6709351;0.42629188;0.26844937;0.10684119;1.454305;1.6697954;0.3641905;0.38161752;1.213655;0.14224456;2.1182678;-0.12695928;0.96942663;0.18803295;1.036253;-5.1993375;-0.033879817;-0.21363614;-1.1096542;0.38623074;-0.52353704;-1.1093777;0.22906446;1.2090244;-0.5348342;-0.3289252;0.12690234;1.1743866;1.6181433;-1.588567;0.17802906;-1.9946498;0.43900126;0.20799579;-0.45158058;0.34025943;0.95745355;0.069056086;-1.4712698;-0.05145999;-0.8625437;0.3400085;-1.2557429;-0.87351507;1538.83
686;2.173061;0.97337425;0.009715771;-1.9886525;0.28613493;-0.06402676;-1.2585077;-0.6089727;-0.6089727;0.16128133;-0.52353704;-1.7274655;1.1001397;-0.47498655;1.7712859;2.3673725;-1.5799683;1.5712863;-0.349327;-0.06276967;1.9454737;1.4157778;1.3352592;0.25795233;1.3279816;1.3889759;-0.85193443;0.80884445;1.2153721;2.5374687;-2.2913897;0.4992481;0.03563147;1.7979711;0.018504476;0.57016087;2.0517554;-0.54064703;2.748294;-1.2144048;0.10179554;-0.34452093;0.34681705;1.6140676;0.12683246;-0.51938486;-2.0308702;-0.32959947;1.684464;2.3255885;2.5754836;1.2924649;-0.34379837;2.3674095;1.2477537;-2.7492301;0.06152757;1.8952595;2.0316334;-0.017564854;2.9720259;0.5969353;-0.007527479;-0.9051715;-0.24510783;-0.080438696;-0.6721291;0.90708023;2.418624;-1.2979678;-0.69893456;1.2412531;1.8977917;1.3312176;-1.3984975;0.05042535;1.9978627;0.63748413;0.34948295;0.010399491;0.19430096;-0.25231084;1.0962348;-0.57607484;1.5018604;-0.6737025;1.8106114;-0.20850483;0.48224825;1035.05
121;0.12578787;-0.94561625;0.32769048;0.080378816;1.1203145;1.3526227;0.7314644;1.5255291;-0.48085177;-0.58130497;0.65182424;0.06276959;-0.3938474;0.7976124;0.20978713;0.46014923;0.8999739;-0.6549305;-0.34685424;0.7266059;0.05271626;-1.3621194;-5.1993375;-0.51492333;-0.51349145;-1.2508262;1.0606964;-0.8022257;-0.11315218;0.8318682;0.09423187;-0.26268575;0.5238179;0.13260294;0.9727839;1.1497419;0.20722286;-0.3711476;0.042668253;0.10684119;-0.8409063;0.7956288;0.7819882;0.1597812;0.35081682;1.0231141;-0.93390995;1.0829239;-0.349483;-0.09045216;-0.032624554;-0.9876516;0.32764572;0.39236432;1.0315087;-0.03513513;0.6514067;-5.1993375;0.4647274;0.43072736;0.087932944;1.2633724;-0.3615107;0.84066254;0.7988135;0.7242065;1.0639323;0.6580429;-0.7958856;1.2312799;-0.6456308;1.0601789;0.3816746;-0.055229053;0.100534536;-0.33617792;0.13591075;0.2803346;0.22134373;0.29495016;-0.056485582;-0.36419058;-0.46536824;0.8603241;0.17527847;1.4250104;0.85674304;0.6287243;-0.87351507;288.37
679;0.12578787;-0.21106979;-0.39946213;0.080378816;-0.15280406;0.20465995;0.7238982;1.1070595;0.42874417;0.25818202;0.0671304;0.06276959;-1.3129815;0.37809882;0.17145778;-0.11638663;0.44625455;0.35749567;-0.05637477;-0.8552868;0.05271626;-0.38167465;-5.1993375;0.24713364;-1.6443685;-0.9165865;0.53049016;-0.38167465;-0.78674453;-0.2783903;0.09423187;-0.91202205;0.61199576;-0.55253685;0.43517116;-5.1993375;-0.22408879;-0.42676207;0.042668253;0.10684119;0.68032485;1.1692146;0.78428906;-0.49213684;0.96942663;0.016250037;0.2162039;0.671088;0.055229053;-2.1440108;-0.032624554;0.6502735;-0.17266487;-0.5511519;0.46261045;-0.03513513;0.0037637127;-5.1993375;0.043924;-0.09231945;0.087932944;1.7762291;0.2665836;-0.16349351;0.3571278;0.7476287;-0.1156778;-0.1931432;-0.65510195;0.3091474;-0.10557961;0.11188957;-5.1993375;-0.055229053;0.100534536;0.8126541;0.13591075;0.1525412;0.29529598;1.6380502;0.97818077;-0.40063524;-0.33219796;0.20033257;-1.2393519;0.6705573;0.12578787;0.114414826;-0.87351507;408.98
2033;0.12578787;-1.010382;0.49698347;0.080378816;3.0428596;1.6330999;0.88114953;1.0041312;-0.5762158;-0.022245502;0.8372287;0.06276959;-1.4390013;1.7864174;-0.7249732;-5.1993375;-0.7194533;-2.1612396;-0.81556445;-1.0729729;0.05271626;-2.1440108;-5.1993375;-2.3258998;-2.2730525;-1.0531063;3.5947316;-2.4646416;-2.1620977;0.38156578;0.09423187;-1.693368;1.2629796;0.43900126;1.0681711;2.0637753;-0.6508373;-1.2087281;0.042668253;0.10684119;-5.1993375;-5.1993375;1.0357895;-0.22134373;1.2762198;1.0798988;-0.7541307;0.49497098;-1.5255293;-0.10053461;-0.032624554;-0.5849838;-1.2639757;-0.6960266;1.4098649;-0.03513513;0.63107747;-5.1993375;0.26788375;1.4400809;0.087932944;1.3847709;-0.8920384;1.550968;2.096159;1.7534808;1.3657382;-0.49922964;-2.1196682;1.3309721;-2.0512555;1.2836634;-5.1993375;-0.055229053;0.100534536;-2.4872248;0.13591075;0.2639846;-1.2018105;-0.7083273;0.49523124;-0.43348193;-2.47442;1.0299568;-2.42039;1.6181433;0.3776296;1.490335;-0.87351507;162.1
2138;0.12578787;0.032559376;0.54805356;0.080378816;0.5296899;-0.10053461;0.5146436;1.8952595;0.9878374;-0.15279447;-0.005425357;0.06276959;-0.7039218;0.51500726;-0.34681714;0.2736931;1.617535;-1.0819398;-0.32018253;-0.06276967;0.05271626;0.0037036508;-5.1993375;-1.03056;-0.7413876;0.07059139;0.7480095;-0.326315;-0.2561982;-0.0629547;0.09423187;-0.14858401;0.33148554;0.47886503;-0.095730886;-0.48930666;0.17273106;-0.76135266;0.042668253;0.10684119;0.49534422;0.80674154;0.88617414;-0.8091682;0.63748413;-0.16533661;0.04293893;-0.5640488;-1.1163689;0.7496701;-0.032624554;-0.34282288;-0.73595107;0.13971037;0.19570021;-0.03513513;-0.5569266;-5.1993375;-0.56573844;0.24460801;0.087932944;0.036390502;0.19442154;0.20594123;0.93371415;0.27167678;0.2264894;1.1624395;0.07410446;0.12298372;-1.3873355;0.033879817;0.8214124;-0.055229053;0.100534536;-0.5262544;0.13591075;0.24196304;-0.5702132;-0.9605577;-0.023839049;0.7613527;-0.40260842;0.4081619;-1.0841951;0.42797595;-0.14731564;1.1521748;-0.87351507;99.77
884;0.12578787;0.3682152;-0.9574536;0.080378816;0.43624;1.0197525;-0.10431811;-0.8214124;-0.119691595;-1.1187923;0.284134;0.06276959;-0.5163563;-0.79027265;-0.9495473;-5.1993375;0.52191174;-1.5376912;0.72858053;-0.9281045;0.05271626;1.5135888;-5.1993375;-1.8720807;-1.2447784;0.28744215;-0.6858094;-0.8287746;2.1554074;0.49877244;0.09423187;-0.7446945;2.5923822;0.8338468;-0.79182065;0.47802472;-0.17823254;-0.34682396;0.042668253;0.10684119;-1.5239865;-0.28425238;2.05493;-0.1144149;2.4487505;-1.4548941;-0.076374166;0.52379733;-1.2502419;0.77992433;-0.032624554;-0.7331557;-1.4780625;0.5614913;1.391202;-0.03513513;0.09559295;-5.1993375;-0.19058746;2.5614607;0.087932944;-0.8920384;5.1993375;-0.69793093;1.1653534;0.8022257;-0.08510374;2.1689997;0.9927481;-0.48196134;-0.9114645;0.97867197;0.6210989;-0.055229053;0.100534536;-1.8803524;0.13591075;-0.23292994;-0.87351507;-0.5747716;1.9805639;1.8803527;-1.1085548;-0.5496163;-0.25490198;-0.44869223;-0.09045216;-0.7884553;-0.87351507;267.59
